Sample_type,Expression(TPM+1)
Primary Tumor,107.6389
Primary Tumor,143.7484
Primary Tumor,104.5019
Primary Tumor,120.4611
Primary Tumor,116.1823
Primary Tumor,3.2821
Primary Tumor,102.981
Primary Tumor,240.4375
Primary Tumor,95.3439
Primary Tumor,174.1355
Primary Tumor,68.3181
Primary Tumor,485.4716
Primary Tumor,113.2608
Primary Tumor,237.3001
Primary Tumor,229.4241
Primary Tumor,16.8321
Solid Tissue Normal,150.5629
Primary Tumor,3.5761
Primary Tumor,50.2972
Primary Tumor,54.5745
Primary Tumor,257.4872
Primary Tumor,139.6831
Primary Tumor,1.2141
Primary Tumor,333.3782
Primary Tumor,153.8013
Primary Tumor,171.6587
Solid Tissue Normal,54.1718
Primary Tumor,159.5707
Primary Tumor,294.2812
Primary Tumor,72.711
Primary Tumor,203.1176
Primary Tumor,75.8678
Solid Tissue Normal,113.2061
Primary Tumor,60.205
Solid Tissue Normal,129.1423
Solid Tissue Normal,167.6746
Primary Tumor,136.8207
Primary Tumor,174.7406
Primary Tumor,27.3535
Primary Tumor,206.1413
Primary Tumor,145.8169
Primary Tumor,171.3846
Primary Tumor,172.2059
Primary Tumor,185.5917
Primary Tumor,79.7161
Primary Tumor,137.2349
Primary Tumor,171.4001
Primary Tumor,261.7618
Primary Tumor,28.4224
Primary Tumor,91.7021
Primary Tumor,1.5592000000000001
Solid Tissue Normal,219.0778
Primary Tumor,1.7077
Primary Tumor,24.167
Primary Tumor,290.8338
Solid Tissue Normal,135.9683
Primary Tumor,1.2631999999999999
Primary Tumor,222.3224
Primary Tumor,110.232
Primary Tumor,112.7874
Primary Tumor,11.1603
Primary Tumor,51.8727
Solid Tissue Normal,65.5754
Primary Tumor,173.8923
Primary Tumor,199.4625
Primary Tumor,707.7109
Primary Tumor,167.7897
Primary Tumor,31.0382
Primary Tumor,126.3817
Primary Tumor,104.1826
Primary Tumor,1.6448
Primary Tumor,130.0355
Primary Tumor,33.5024
Primary Tumor,132.0531
Primary Tumor,173.2753
Primary Tumor,85.1605
Primary Tumor,149.3289
Solid Tissue Normal,78.9103
Primary Tumor,151.8607
Primary Tumor,135.3559
Primary Tumor,190.9832
Primary Tumor,273.5691
Primary Tumor,111.7193
Primary Tumor,11.9831
Primary Tumor,572.0358
Primary Tumor,134.347
Primary Tumor,244.1775
Primary Tumor,111.2161
Primary Tumor,194.4675
Solid Tissue Normal,152.4976
Solid Tissue Normal,114.6816
Primary Tumor,291.3962
Primary Tumor,163.9629
Primary Tumor,162.6858
Primary Tumor,58.575
Primary Tumor,202.229
Primary Tumor,159.5695
Solid Tissue Normal,143.0076
Primary Tumor,116.9908
Primary Tumor,420.4115
Primary Tumor,281.3047
Primary Tumor,83.1519
Primary Tumor,172.9645
Primary Tumor,631.4263
Primary Tumor,68.8543
Primary Tumor,156.1723
Primary Tumor,101.3924
Primary Tumor,40.6036
Primary Tumor,171.4573
Primary Tumor,34.7969
Primary Tumor,9.9077
Primary Tumor,56.3489
Primary Tumor,1.4912
Primary Tumor,145.4363
Primary Tumor,234.5276
Primary Tumor,238.6646
Primary Tumor,93.9246
Primary Tumor,94.7216
Primary Tumor,404.2016
Primary Tumor,400.5456
Primary Tumor,50.2903
Primary Tumor,22.5864
Primary Tumor,220.3417
Primary Tumor,25.5437
Primary Tumor,183.0794
Primary Tumor,163.0289
Primary Tumor,132.0458
Primary Tumor,382.7638
Solid Tissue Normal,147.659
Primary Tumor,144.5289
Solid Tissue Normal,96.1009
Primary Tumor,23.6219
Primary Tumor,226.2305
Primary Tumor,208.0209
Primary Tumor,215.9609
Primary Tumor,180.4585
Primary Tumor,11.2619
Primary Tumor,90.8002
Primary Tumor,327.3201
Primary Tumor,138.0214
Primary Tumor,126.9772
Primary Tumor,278.9035
Primary Tumor,139.1977
Solid Tissue Normal,98.6352
Primary Tumor,11.5441
Primary Tumor,107.0545
Primary Tumor,90.5745
Primary Tumor,8.840499999999999
Primary Tumor,66.7248
Solid Tissue Normal,175.9576
